Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.082515,-1.2696E-06,-0.062525,0,0,0,0.90862,0.0012533,4.5377E-08,1.4694E-05,0.0019113,4.0125E-09,0.0014822,0,0,0,0,0,0,package://jp0720/meshes/base_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://jp0720/meshes/base_link.STL,,board-1;body(R)_cover_22-1;body(L)_cover_22-1;body(L)_22-1;body(R)_22-1;encoder+dc motor-1;encoder+dc motor-2;v4_gear4-2;v4_gear4-1;39gear-2;39gear-1;39gear2-1;39gear2-2;v4_gear3_22-2;v4_gear3_22-1;v4_gear1-1;v4_gear1-2;encoder-2;encoder-1;v4_gear1_22-1;v4_gear1_22-2,origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_cam_link,0.0076415,0.010242,0.0063368,0,0,0,0.030572,5.8565E-06,-6.804E-07,-3.8299E-08,1.6944E-05,-5.108E-08,2.1938E-05,0,0,0,0,0,0,package://jp0720/meshes/L_cam_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://jp0720/meshes/L_cam_link.STL,,cam ver.4_L-1,L_cam,L_cam_joint,L_cam_j,revolute,0.1066,0.0575,-0.10105,-1.5708,-0.9905,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
R_cam_link,0.0076415,0.010242,-0.0063367,0,0,0,0.030572,5.8563E-06,-6.81E-07,3.8137E-08,1.6943E-05,5.1104E-08,2.1937E-05,0,0,0,0,0,0,package://jp0720/meshes/R_cam_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://jp0720/meshes/R_cam_link.STL,,cam ver.4_R-1,R_cam,R_cam_joint,R_cam_j,revolute,0.1066,-0.0575,-0.10105,-1.5708,-0.9905,0,base_link,0,0,1,0,0,0,0,,,,,,,,
L_leg3_link,0.087332,0.011068,0.02,0,0,0,0.098771,1.1825E-05,-7.9303E-06,1.3236E-19,0.00020074,2.7967E-21,0.00020507,0,0,0,0,0,0,package://jp0720/meshes/L_leg3_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jp0720/meshes/L_leg3_link.STL,,spring fix(up)-1;leg2-1;leg2-2,L_leg3,L_leg3_joint,L_leg3_j,revolute,0.02,0.044,-0.097875,1.5708,0.71579,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
L_leg13_link,-0.052267,1.6463E-15,0.042286,0,0,0,0.26413,8.0761E-05,-1.0943E-17,-3.7828E-06,0.00077157,2.9663E-20,0.00077516,0,0,0,0,0,0,package://jp0720/meshes/L_leg13_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jp0720/meshes/L_leg13_link.STL,,leg1-2;leg1(1)-3;wheel_motor-2,L_leg1,L_leg13_joint,L_leg13_j,revolute,0.11865,-0.17115,-0.024,0,0,-1.7519,L_leg3_link,0,0,-1,0,0,0,0,,,,,,,,
R_leg3_link,0.087332,0.011068,-0.02,0,0,0,0.098771,1.1825E-05,-7.9303E-06,8.6786E-21,0.00020074,4.4941E-21,0.00020507,0,0,0,0,0,0,package://jp0720/meshes/R_leg3_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jp0720/meshes/R_leg3_link.STL,,spring fix(up)-2;leg2-4;leg2-3,R_leg3,R_leg3_joint,R_leg3_j,revolute,0.02,-0.044,-0.097875,1.5708,0.71579,-3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
R_leg13_link,-0.0522667236666869,-3.38271077815477E-16,-0.0422856505225778,0,0,0,0.2641287819222,8.07606610309228E-05,7.02316882670376E-18,3.78275280217765E-06,0.000771573835287757,-8.77755831840644E-21,0.000775155606049067,0,0,0,0,0,0,package://jp0720/meshes/R_leg13_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jp0720/meshes/R_leg13_link.STL,,leg1-1;leg1(1)-1;wheel_motor-1,R_leg1,R_leg13_joint,R_leg13_j,revolute,0.11865,-0.17115,0.024,0,0,-1.7519,R_leg3_link,0,0,1,0,0,0,0,,,,,,,,
L_leg2_link,0.0515860704390078,-0.0121605401195324,0.0199999999999995,0,0,0,0.167812072864465,2.9799066571997E-05,-1.83054843131896E-05,-3.88185957193567E-19,0.00021341303333824,-6.95838799970874E-20,0.000231043613834266,0,0,0,0,0,0,package://jp0720/meshes/L_leg2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jp0720/meshes/L_leg2_link.STL,,leg6-6;v4_leg4 _L-2;v4_leg4 _R-2;leg6-2;spring fix(up)-4;6pi 40mm pole-2,L_leg2,L_leg2_joint,L_leg2_j,revolute,0.057125,0.044,-0.135,1.5708,0.56275,-3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
L_leg12_link,-0.0522667236666869,1.64625257870199E-15,0.042285650522577,0,0,0,0.2641287819222,8.07606610309237E-05,-1.09425447191832E-17,-3.78275280217784E-06,0.000771573835287758,4.13097400479347E-20,0.000775155606049069,0,0,0,0,0,0,package://jp0720/meshes/L_leg12_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jp0720/meshes/L_leg12_link.STL,,leg1(1)-3;leg1-2;wheel_motor-2,L_leg1,L_leg12_joint,L_leg12_j,revolute,0.10277,-0.13603,-0.024,0,0,-1.905,L_leg2_link,0,0,-1,0,0,0,0,,,,,,,,
L_wheel_link,2.7756E-17,1.3878E-17,-0.013014,0,0,0,0.16004,0.00011168,1.2587E-21,6.8979E-20,0.00011168,-3.9285E-20,0.00019074,0,0,0,0,0,0,package://jp0720/meshes/L_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://jp0720/meshes/L_wheel_link.STL,,wheel-2,L_wheel,L_leg1_joint,L_wheel_j,revolute,0.006,0,0.121,0,0,2.4677,L_leg12_link,0,0,-1,0,0,0,0,,,,,,,,
R_leg2_link,0.0515860704390093,-0.0121605401195322,-0.0200000000000005,0,0,0,0.167812072864465,2.9799066571997E-05,-1.83054843131897E-05,-1.98032948107606E-20,0.000213413033338239,-3.20671228905757E-20,0.000231043613834266,0,0,0,0,0,0,package://jp0720/meshes/R_leg2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jp0720/meshes/R_leg2_link.STL,,leg6-5;spring fix(up)-3;v4_leg4 _L-1;v4_leg4 _R-1;leg6-4;6pi 40mm pole-1,R_leg2,R_leg2_joint,R_leg2_j,revolute,0.057125,-0.044,-0.135,1.5708,0.56275,-3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
R_leg12_link,-0.052267,-3.3827E-16,-0.042286,0,0,0,0.26413,8.0761E-05,7.0028E-18,3.7828E-06,0.00077157,2.2339E-21,0.00077516,0,0,0,0,0,0,package://jp0720/meshes/R_leg12_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jp0720/meshes/R_leg12_link.STL,,leg1-1;leg1(1)-1;wheel_motor-1,R_leg1,L_leg12_joint,R_leg12_j,revolute,0.10277,-0.13603,0.024,0,0,-1.905,R_leg2_link,0,0,-1,0,0,0,0,,,,,,,,
R_wheel_link,2.7756E-17,0,0.013014,0,0,0,0.16004,0.00011168,-2.9176E-20,3.1413E-20,0.00011168,-3.1332E-20,0.00019074,0,0,0,0,0,0,package://jp0720/meshes/R_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://jp0720/meshes/R_wheel_link.STL,,wheel-1,R_wheel,R_leg1_joint,R_wheel_j,revolute,0.006,0,-0.121,0,0,2.4677,R_leg12_link,0,0,1,0,0,0,0,,,,,,,,
